,vote,pro_args,con_args
6589,I would probably vote against it,None of the above,It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
6590,I would probably vote for it,None of the above,None of the above
6591,I would not vote,None of the above,None of the above
6592,I would probably vote for it,It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility,It increases dependence on the state
6593,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
6594,I would probably vote against it,It reduces anxiety about financing basic needs,It increases dependence on the state | It is impossible to finance | It is against the principle of linking merit and reward
6595,I would probably vote for it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It is impossible to finance | It is against the principle of linking merit and reward
6596,I would vote against it,None of the above,It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
6597,I would vote for it,It encourages financial independence and self-responsibility,It increases dependence on the state
6598,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
6599,I would probably vote for it,None of the above,Only the people who need it most should get something from the state
6600,I would not vote,None of the above,Only the people who need it most should get something from the state
6601,I would probably vote for it,It creates more equality of opportunity,It is impossible to finance
6602,I would vote for it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6603,I would not vote,None of the above,None of the above
6604,I would vote for it,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
6605,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
6606,I would not vote,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6607,I would vote for it,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",None of the above
6608,I would probably vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6609,I would vote for it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6610,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
6611,I would probably vote for it,"It increases solidarity, because it is funded by everyone",It is impossible to finance
6612,I would vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6613,I would probably vote for it,None of the above,It is impossible to finance
6614,I would vote for it,It increases appreciation for household work and volunteering,It is impossible to finance
6615,I would not vote,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state
6616,I would vote against it,"It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state
6617,I would vote against it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It increases dependence on the state
6618,I would vote for it,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
6619,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
6620,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
6621,I would vote for it,None of the above,None of the above
6622,I would probably vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6623,I would probably vote against it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
6624,I would vote for it,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
6625,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
6626,I would vote against it,None of the above,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
6627,I would probably vote against it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
6628,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
6629,I would vote against it,It reduces anxiety about financing basic needs,It increases dependence on the state | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
6630,I would probably vote against it,None of the above,It might encourage people to stop working | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state
6631,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state
6632,I would probably vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
6633,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6634,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6635,I would probably vote against it,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6636,I would probably vote against it,It reduces anxiety about financing basic needs,It increases dependence on the state | Only the people who need it most should get something from the state | It is impossible to finance
6637,I would probably vote against it,It encourages financial independence and self-responsibility,None of the above
6638,I would vote for it,It creates more equality of opportunity | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
6639,I would vote for it,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
6640,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
6641,I would not vote,None of the above,None of the above
6642,I would probably vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance
6643,I would vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
6644,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance
6645,I would probably vote against it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
6646,I would probably vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state
6647,I would probably vote against it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
6648,I would vote for it,It creates more equality of opportunity,It might encourage people to stop working | It increases dependence on the state
6649,I would probably vote against it,None of the above,Only the people who need it most should get something from the state
6650,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
6651,I would probably vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance | It might encourage people to stop working
6652,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6653,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
6654,I would vote for it,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It might encourage people to stop working
6655,I would vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
6656,I would probably vote against it,None of the above,It is impossible to finance
6657,I would not vote,None of the above,None of the above
6658,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
6659,I would probably vote for it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6660,I would probably vote against it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
6661,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
6662,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is against the principle of linking merit and reward
6663,I would not vote,None of the above,None of the above
6664,I would not vote,None of the above,None of the above
6665,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6666,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
6667,I would probably vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
6668,I would not vote,None of the above,None of the above
6669,I would vote for it,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state
6670,I would probably vote for it,None of the above,Only the people who need it most should get something from the state | It is impossible to finance
6671,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
6672,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
6673,I would vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
6674,I would vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state | It might encourage people to stop working
6675,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
6676,I would vote for it,None of the above,It is against the principle of linking merit and reward
6677,I would vote for it,It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working
6678,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance
6679,I would not vote,It creates more equality of opportunity,It increases dependence on the state
6680,I would vote for it,None of the above,Only the people who need it most should get something from the state
6681,I would not vote,None of the above,None of the above
6682,I would probably vote against it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6683,I would vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
6684,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
6685,I would vote against it,It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
6686,I would vote against it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state
6687,I would vote against it,None of the above,It is impossible to finance | It might encourage people to stop working
6688,I would vote for it,It creates more equality of opportunity,None of the above
6689,I would vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
6690,I would vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
6691,I would probably vote for it,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working
6692,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working
6693,I would vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
6694,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
6695,I would not vote,"It increases solidarity, because it is funded by everyone",It is impossible to finance
6696,I would not vote,None of the above,None of the above
6697,I would probably vote for it,It creates more equality of opportunity,It might encourage people to stop working
6698,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
6699,I would probably vote against it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working
6700,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state
6701,I would probably vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
6702,I would vote for it,None of the above,None of the above
6703,I would vote for it,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
6704,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
6705,I would probably vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
6706,I would probably vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It increases dependence on the state
6707,I would not vote,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
6708,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6709,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6710,I would probably vote against it,It creates more equality of opportunity,It is impossible to finance
6711,I would probably vote for it,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
6712,I would vote for it,It creates more equality of opportunity,It is impossible to finance
6713,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working
6714,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance
6715,I would probably vote against it,It creates more equality of opportunity,It is impossible to finance
6716,I would vote for it,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6717,I would probably vote for it,It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward | It is impossible to finance
6718,I would probably vote for it,None of the above,None of the above
6719,I would not vote,None of the above,None of the above
6720,I would vote for it,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6721,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
6722,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",None of the above
6723,I would vote for it,It encourages financial independence and self-responsibility,It is impossible to finance | It increases dependence on the state
6724,I would not vote,None of the above,None of the above
6725,I would probably vote for it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
6726,I would vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It is against the principle of linking merit and reward
6727,I would vote against it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
6728,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is impossible to finance
6729,I would probably vote for it,None of the above,It is impossible to finance
6730,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility",None of the above
6731,I would probably vote for it,"It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6732,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It increases dependence on the state
6733,I would vote for it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,It increases dependence on the state | It is impossible to finance
6734,I would vote for it,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
6735,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",Only the people who need it most should get something from the state
6736,I would probably vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
6737,I would probably vote against it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
6738,I would vote for it,It creates more equality of opportunity,None of the above
6739,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It increases dependence on the state
6740,I would probably vote for it,None of the above,None of the above
6741,I would vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance
6742,I would probably vote for it,It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6743,I would vote against it,It increases appreciation for household work and volunteering,It might encourage people to stop working
6744,I would probably vote for it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
6745,I would vote for it,"It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
6746,I would vote for it,It creates more equality of opportunity,None of the above
6747,I would vote for it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
6748,I would vote for it,"It increases solidarity, because it is funded by everyone",It is impossible to finance
6749,I would probably vote against it,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working
6750,I would probably vote for it,None of the above,None of the above
6751,I would vote against it,None of the above,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
6752,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
6753,I would vote for it,None of the above,None of the above
6754,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
6755,I would probably vote for it,None of the above,Only the people who need it most should get something from the state
6756,I would probably vote for it,None of the above,None of the above
6757,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
6758,I would probably vote for it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working
6759,I would vote for it,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6760,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
6761,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
6762,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
6763,I would probably vote for it,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
6764,I would vote for it,"It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
6765,I would probably vote for it,None of the above,None of the above
6766,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6767,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It is impossible to finance
6768,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs",It is impossible to finance | It increases dependence on the state | It might encourage people to stop working
6769,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6770,I would not vote,None of the above,None of the above
6771,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It might encourage people to stop working
6772,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
6773,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
6774,I would probably vote for it,It creates more equality of opportunity,It is impossible to finance
6775,I would vote against it,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward | It increases dependence on the state
6776,I would probably vote against it,It reduces anxiety about financing basic needs,It increases dependence on the state | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It might encourage people to stop working
6777,I would vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
6778,I would probably vote against it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
6779,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
6780,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It increases dependence on the state
6781,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward
6782,I would vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
6783,I would vote for it,It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It increases dependence on the state | Only the people who need it most should get something from the state | It might encourage people to stop working
6784,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance
6785,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
6786,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6787,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
6788,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6789,I would not vote,"It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
6790,I would probably vote for it,"It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance
6791,I would not vote,None of the above,None of the above
6792,I would probably vote for it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It increases dependence on the state | It is impossible to finance
6793,I would not vote,None of the above,None of the above
6794,I would probably vote for it,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
6795,I would probably vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
6796,I would vote for it,"It increases solidarity, because it is funded by everyone",None of the above
6797,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
6798,I would probably vote for it,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6799,I would vote for it,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
6800,I would vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
6801,I would probably vote for it,None of the above,It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state
6802,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
6803,I would probably vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance
6804,I would vote against it,It increases appreciation for household work and volunteering,It is impossible to finance
6805,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
6806,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
6807,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
6808,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is impossible to finance
6809,I would vote for it,It creates more equality of opportunity,It might encourage people to stop working
6810,I would vote for it,It encourages financial independence and self-responsibility,None of the above
